# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 119K of event 'task-clock:ppp'
# Event count (approx.): 119732732613
#
# Overhead  Symbol                                            IPC   [IPC Coverage]
# ........  ................................................  ....................
#
     0.07%  [.] PgCurrentPgStatSnapshotIfAllocated            -      -            
     0.07%  [.] btgettuple                                    -      -            
     0.07%  [k] tcp_skb_entail                                -      -            
     0.07%  [.] AtEOXact_GUC                                  -      -            
     0.07%  [.] ExecTypeFromTLInternal                        -      -            
     0.07%  [.] pg_any_to_server                              -      -            
     0.07%  [.] strlen@plt                                    -      -            
     0.07%  [.] ExecConditionalAssignProjectionInfo           -      -            
     0.07%  [.] PgBackendClearProtocolReadParkDeferredNotify  -      -            
     0.06%  [.] ExecComputeSlotInfo.isra.0                    -      -            
     0.06%  [k] _raw_spin_lock_irqsave                        -      -            
     0.06%  [k] page_frag_free                                -      -            
     0.06%  [.] pq_getmsgstring                               -      -            
     0.06%  [k] tcp_check_space                               -      -            
     0.06%  [.] AtEOXact_Namespace                            -      -            
     0.06%  [.] AtEOXact_RI                                   -      -            
     0.06%  [.] AtEOXact_Snapshot                             -      -            
     0.06%  [.] PredicateLockPage                             -      -            
     0.06%  [.] UnregisterSnapshot                            -      -            
     0.06%  [k] __inet_lookup_established                     -      -            
     0.06%  [.] pgstat_get_transactional_drops                -      -            
     0.06%  [k] try_charge_memcg                              -      -            
     0.06%  [.] ExecReScanIndexScan                           -      -            
     0.06%  [.] TupleDescInitEntry                            -      -            
     0.06%  [k] __x64_sys_sendto                              -      -            
     0.06%  [k] ip_finish_output                              -      -            
     0.06%  [.] ExecInitNode                                  -      -            
     0.06%  [.] InvalidateCatalogSnapshotConditionally        -      -            
     0.06%  [.] ReindexIsProcessingIndex                      -      -            
     0.06%  [k] __skb_clone                                   -      -            
     0.06%  [.] pgstat_count_io_op                            -      -            
     0.06%  [.] EndImplicitTransactionBlock                   -      -            
     0.06%  [.] ExecCheckPermissions                          -      -            
     0.06%  [.] UnpinBuffer                                   -      -            
     0.06%  [k] __hrtimer_init                                -      -            
     0.06%  [k] nf_hook_slow                                  -      -            
     0.06%  [.] set_ps_display_with_len                       -      -            
     0.06%  [.] superuser_arg                                 -      -            
     0.06%  [.] tag_hash                                      -      -            
     0.06%  [.] GetUserIdAndSecContext                        -      -            
     0.06%  [k] ip_send_check                                 -      -            
     0.06%  [.] AtEOXact_Inval                                -      -            
     0.06%  [.] LockErrorCleanup                              -      -            
     0.06%  [k] consume_skb                                   -      -            
     0.06%  [.] index_getprocinfo                             -      -            
     0.06%  [k] release_sock                                  -      -            
     0.06%  [.] ExecInitResultTypeTL                          -      -            
     0.06%  [.] PreCommit_on_commit_actions                   -      -            
     0.06%  [.] lcons                                         -      -            
     0.06%  [.] ExecIndexScan                                 -      -            
     0.06%  [.] ProcArrayEndTransaction                       -      -            
     0.06%  [.] ScanRelIsReadOnly                             -      -            
     0.06%  [.] ExecAllocTableSlot                            -      -            
     0.06%  [k] _copy_to_iter                                 -      -            
     0.06%  [.] xactGetCommittedChildren                      -      -            
     0.06%  [.] CommandCounterIncrement                       -      -            
     0.06%  [.] ExecShutdownNode                              -      -            
     0.06%  [.] ForgetPrivateRefCountEntryFor                 -      -            
     0.06%  [.] lappend                                       -      -            
     0.06%  [.] palloc_mul                                    -      -            
     0.05%  [k] __netif_receive_skb_core.constprop.0          -      -            
     0.05%  [k] __pollwait                                    -      -            
     0.05%  [.] internal_flush_buffer                         -      -            
     0.05%  [.] pgstat_clear_backend_activity_snapshot        -      -            
     0.05%  [.] planstate_tree_walker_impl                    -      -            
     0.05%  [.] relation_close                                -      -            
     0.05%  [.] AtEOXact_LargeObject                          -      -            
     0.05%  [.] _bt_readnextpage                              -      -            
     0.05%  [k] _copy_from_iter                               -      -            
     0.05%  [.] AtStart_GUC                                   -      -            
     0.05%  [.] BufferGetLSNAtomic                            -      -            
     0.05%  [.] PushActiveSnapshot                            -      -            
     0.05%  [.] TupleDescFinalize                             -      -            
     0.05%  [.] _bt_readfirstpage                             -      -            
     0.05%  [k] ipv4_dst_check                                -      -            
     0.05%  [k] refill_stock                                  -      -            
     0.05%  [.] GetCurrentSubTransactionId                    -      -            
     0.05%  [.] GrantLockLocal                                -      -            
     0.05%  [.] btendscan                                     -      -            
     0.05%  [k] rb_first                                      -      -            
     0.05%  [k] schedule                                      -      -            
     0.05%  [.] smgrDoPendingSyncs                            -      -            
     0.05%  [.] CommitTransactionCommand                      -      -            
     0.05%  [.] ExecInitScanTupleSlot                         -      -            
     0.05%  [.] ParallelContextList                           -      -            
     0.05%  [.] PortalCleanup                                 -      -            
     0.05%  [k] __usecs_to_jiffies                            -      -            
     0.05%  [.] _bt_metaversion                               -      -            
     0.05%  [k] sch_direct_xmit                               -      -            
