# file	sha1	names	declaration
src/backend/nodes/copyfuncs.switch.c	876f0b81912ed9be1321441e05b8bcbac56a7e78	retval	retval = _copyJsonScalarExpr(from);
src/backend/nodes/copyfuncs.switch.c	437684ae0c71b0a76d19938452a17c9d72eba28e	retval	retval = _copyJsonSerializeExpr(from);
src/backend/nodes/copyfuncs.switch.c	d59641d45b72917edda9276eb5daa1e30b1d6800	retval	retval = _copyJsonObjectConstructor(from);
src/backend/nodes/copyfuncs.switch.c	38217dd7211f3e3c17c8fe208c5b254c91334b51	retval	retval = _copyJsonArrayConstructor(from);
src/backend/nodes/copyfuncs.switch.c	d6f2967e50560ddb87aebf695e51533862488e93	retval	retval = _copyJsonArrayQueryConstructor(from);
src/backend/nodes/copyfuncs.switch.c	77d8048170aac6dbcedcb44e34bd04060edc2596	retval	retval = _copyJsonAggConstructor(from);
src/backend/nodes/copyfuncs.switch.c	e68b656ed7e7d387f8dbc0653d18b49a27a5c2b3	retval	retval = _copyJsonObjectAgg(from);
src/backend/nodes/copyfuncs.switch.c	d3186caf2c3c02563fa5aa721ca35868f197d4c9	retval	retval = _copyJsonArrayAgg(from);
src/backend/nodes/copyfuncs.switch.c	a140a79ef5ecd20130a2756cd4987c13d9174e08	retval	retval = _copyRawStmt(from);
src/backend/nodes/copyfuncs.switch.c	76fbaa529b2c0ac5b2d7d02cf0fbe5c7fd1d160f	retval	retval = _copyInsertStmt(from);
src/backend/nodes/copyfuncs.switch.c	2df5c11c5073fd73257ce6e162ffa3739a78fc82	retval	retval = _copyDeleteStmt(from);
src/backend/nodes/copyfuncs.switch.c	bfca64ffc20f5a92f4017cedeece9a26aec97799	retval	retval = _copyUpdateStmt(from);
src/backend/nodes/copyfuncs.switch.c	d45899e3b39e5077acd04ea7d9e6296b60026bd6	retval	retval = _copyMergeStmt(from);
src/backend/nodes/copyfuncs.switch.c	0e043e84c6514524d642a052acf8c0071b23c267	retval	retval = _copySelectStmt(from);
src/backend/nodes/copyfuncs.switch.c	856b07bf05c28f78fac0745f1cc2bbfa183d2a77	retval	retval = _copySetOperationStmt(from);
src/backend/nodes/copyfuncs.switch.c	65df4240a44cfe17206c6da288f5ef44100d3a8e	retval	retval = _copyReturnStmt(from);
src/backend/nodes/copyfuncs.switch.c	233a8bd947690d8a615c3a965b8ccb22aede05a1	retval	retval = _copyPLAssignStmt(from);
src/backend/nodes/copyfuncs.switch.c	2dbe53b26422206fabf6973393be101c179029f4	retval	retval = _copyCreateSchemaStmt(from);
src/backend/nodes/copyfuncs.switch.c	402ef3f00861897ab65a22dbaefd84bd53463510	retval	retval = _copyAlterTableStmt(from);
src/backend/nodes/copyfuncs.switch.c	c66e449640e8cb376ff8f4335c4a50e6a03b6715	retval	retval = _copyAlterTableCmd(from);
src/backend/nodes/copyfuncs.switch.c	e9d811d7a708894ea5f5f106c54cab3463dd50f5	retval	retval = _copyATAlterConstraint(from);
src/backend/nodes/copyfuncs.switch.c	d6b6ccb98c0e9ca01c3c67a53ee6500afb380b42	retval	retval = _copyReplicaIdentityStmt(from);
src/backend/nodes/copyfuncs.switch.c	a0e2c19d195b5f6a8e25606b51c8a93334b07127	retval	retval = _copyAlterCollationStmt(from);
src/backend/nodes/copyfuncs.switch.c	d1f4776731690b69e11708757a2543dc4234c7ed	retval	retval = _copyAlterDomainStmt(from);
src/backend/nodes/copyfuncs.switch.c	6bfc1613dbe907e247cff2ca125595aa0947cc6e	retval	retval = _copyGrantStmt(from);
src/backend/nodes/copyfuncs.switch.c	6692a16bf97a881f3cfe053e5ef93c51413f47b4	retval	retval = _copyObjectWithArgs(from);
src/backend/nodes/copyfuncs.switch.c	9fce29930f6289a4fedd8b575770a2e1429e871c	retval	retval = _copyAccessPriv(from);
